Adult_IP	Sup_IP	LTR_type	family	HOG	cons	strand	length	dt	Adult_IP_rpkm	Sup_IP_rpkm	sim_LTR	length_centred
soloLTR_As:2076	11.9984349463343	6.44542868575006	soloLTR	rnd-4_family-1379	N0.HOG0000010_OG0000006_n0	HC	As	2.96848294855394	0	3.70250998874131	2.81716857552461	soloLTR	0.00202582344499413
int_As:2101	3.1759827481415	9.58884312484477	int	rnd-5_family-1801	N0.HOG0000086_OG0000072_n0	C	As	2.63346845557959	1	2.93362757261806	4.49521419451218	int	-0.332988669529354
int_As:2102	39.2675130130286	88.0629335234047	int	rnd-1_family-218	no_RT	Other	As	3.53744128340795	1	3.51392439512341	4.67690786502583	int	0.570984158299007
LTR_As:2140	27.7582608572862	13.8871369586458	LTR	rnd-5_family-1554	N0.HOG0000047_OG0000033_n0	C	As	2.89097959698969	0	5.16265927568538	4.16914448708844	LTR	-0.0754775281192521
int_As:2141	92.7114009939864	53.1128276776808	int	rnd-5_family-1554	N0.HOG0000047_OG0000033_n0	C	As	3.03901732199741	0	6.40675866697628	5.60433713157969	int	0.072560196888471
int_As:2143	5.27043144798095	2.68644248230178	int	rnd-5_family-1554	N0.HOG0000047_OG0000033_n0	C	As	2.75966784468963	0	3.22582961581192	2.28140706115485	int	-0.206789280419311
int_As:2152	1.06543503281109	0.253338342690654	int	rnd-5_family-1554	N0.HOG0000047_OG0000033_n0	C	As	2.26717172840301	0	2.66743437788324	0.966474817241992	int	-0.699285396705927
LTR_As:2154	23.1210610815201	9.25586658949161	LTR	rnd-5_family-1554	N0.HOG0000047_OG0000033_n0	C	As	2.89320675305985	0	4.89268411464224	3.58204580978449	LTR	-0.0732503720490931
int_As:2198	26.7294565921911	63.1878138637788	int	rnd-5_family-3723	N0.HOG0000026_OG0000015_n0	C	As	2.9216864754836	1	5.00639381135851	6.24421805226318	int	-0.0447706496253391
int_As:2199	58.6051697004716	186.299834800483	int	rnd-5_family-3723	N0.HOG0000026_OG0000015_n0	C	As	3.33243845991561	1	4.7713052357308	6.43799071157289	int	0.365981334806664
int_As:2206	0.686844757421792	4.87811997886979	int	rnd-1_family-807	no_RT	Other	As	3.38363586836188	1	-1.60538859051582	1.04383034944029	int	0.417178743252939
soloLTR_As:2208	0.728306167481149	5.88872936397781	soloLTR	rnd-1_family-807	no_RT	Other	As	2.41830129131975	1	1.67653975975134	4.51684286333458	soloLTR	-0.548155833789196
int_As:2212	166.26039312549	60.9349546049589	int	rnd-1_family-878	N0.HOG0000026_OG0000015_n0	C	As	3.17638069224327	0	6.79232283741575	5.34585650852558	int	0.209923567134329
int_As:2260	12.762759594734	6.96959972445748	int	rnd-5_family-274	N0.HOG0000174_OG0000160_-	LC	As	3.0884904701824	0	3.39217441428016	2.52947009067371	int	0.122033345073455
int_As:2289	49.9887489458366	101.083257751952	int	rnd-5_family-3572	N0.HOG0000009_OG0000005_n23	HC	As	3.07664044367034	1	5.39208201311419	6.40636339656436	int	0.110183318561401
int_As:2296	8.18575079820875	1.12601474118171	int	rnd-5_family-10151	N0.HOG0000095_OG0000081_n0	LC	As	2.78532983501077	0	3.76534933795866	1.01880529829247	int	-0.181127290098174
int_As:2298	25.9229021855525	12.454839683729	int	rnd-5_family-10151	N0.HOG0000095_OG0000081_n0	LC	As	3.60346915973384	0	2.69754160912998	1.64654963502434	int	0.637012034624898
int_As:2304	136.9042724074	80.3671648414899	int	rnd-5_family-2974	N0.HOG0000027_OG0000016_n0	C	As	3.77728179167101	0	4.51609888751044	3.74841644163672	int	0.810824666562074
int_As:2307	22.2282453194515	8.04746252762631	int	rnd-5_family-2974	N0.HOG0000027_OG0000016_n0	C	As	3.06520612805431	0	4.26477791251133	2.81135846183407	int	0.0987490029453708
int_As:2341	49.7267773693363	216.87380082339	int	rnd-5_family-842	N0.HOG0000003_OG0000003_n0	C	As	3.81934648408045	1	2.91730324627335	5.0396273156065	int	0.852889358971512
soloLTR_As:2366	20.4581188786183	7.14514539416458	soloLTR	rnd-1_family-977	N0.HOG0000010_OG0000006_n0	HC	As	2.88592633980143	0	4.74121989484556	3.23782979197014	soloLTR	-0.0805307853075101
int_As:2371	25.8323009760114	75.1862932803423	int	rnd-5_family-12238	N0.HOG0000010_OG0000006_n0	HC	As	3.48058178682917	1	3.10072811300723	4.6380318345166	int	0.514124661720228
LTR_As:2372	2.86150697077635	8.28735258029869	LTR	rnd-5_family-12238	N0.HOG0000010_OG0000006_n0	HC	As	2.40140054078154	1	3.55941256108297	5.05824728112236	LTR	-0.565056584327397
int_As:2383	112.439518642759	68.6442024381169	int	rnd-5_family-2441	N0.HOG0000027_OG0000016_n0	C	As	3.67357379642305	0	4.57684061705073	3.86579256515667	int	0.707116671314111
LTR_As:2384	1.90534292308998	0.917414802685376	LTR	rnd-5_family-2441	N0.HOG0000027_OG0000016_n0	C	As	2.71432975974523	0	1.9594582655126	0.988370766414689	LTR	-0.252127365363708
int_As:2431	38.5126986358207	5.41890863638687	int	rnd-5_family-7032	no_RT	Other	As	3.21932250841934	0	4.54277007328723	1.73814792818927	int	0.252865383310396
int_As:2447	5.92914109651321	2.46005724689425	int	rnd-5_family-767	N0.HOG0000199_OG0000185_-	LC	As	2.91907809237607	0	2.86304506926758	1.62983817067542	int	-0.0473790327328674
int_As:2469	4.98702745484445	0.988682580661106	int	rnd-5_family-4989	N0.HOG0000010_OG0000006_n0	HC	As	3.03702787975578	0	2.22638338996087	0.0120644871263025	int	0.0705707546468339
int_As:2479	4.93038381559665	0.943291031195753	int	rnd-5_family-3633	no_RT	Other	As	3.19700472802305	0	1.67895396598601	-0.580524500383338	int	0.230547602914104
